Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
0,6061 Montignies-sur-Sambre,House,35000,3.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,2.0, To restore,0.0
1,6183 Trazegnies,House,35000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,2.0,Good,0.0
2,6020 Dampremy,House,35000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,1.0, To renovate,0.0
3,6592 Monceau-Imbrechies,House,35000,3.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,1.0,Good,0.0
4,7390 Quaregnon,House,35000,2.0,94.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,94.0,44.0,2.0, To renovate,0.0
5,5575 Willerzie,House,35000,5.0,300.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,300.0,300.0,2.0, To restore,0.0
6,5620 Saint-Aubin,House,35000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,493.0,1.0,Good,0.0
7,6224 Wanferce-Baulet,House,35000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,160.0,1.0, To renovate,0.0
8,7012 Jemappes,House,35000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,2.0,Good,0.0
9,7860 Lessines,House,37500,3.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,2.0,Good,0.0
10,5580 Jemelle,House,39000,2.0,120.0,Not installed,0.0,0.0,0.0,10.0,1.0,10.0,120.0,99.0,2.0, Good,0.0
11,3920 Lommel,House,39000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,1.0,Good,0.0
12,8200 Sint-Andries,House,39400,2.0,15.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,15.0,201.0,1.0, Good,0.0
13,3920 Lommel,House,39500,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,1.0,Good,0.0
14,7100 HAINE-SAINT-PIERRE,House,39999,2.0,62.0,Not installed,0.0,0.0,1.0,7.0,1.0,56.0,62.0,95.0,2.0, To renovate,0.0
15,4100 Seraing,House,40000,2.0,76.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,76.0,114.0,2.0, To renovate,0.0
16,7012 Jemappes,House,40000,2.0,94.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,94.0,150.0,2.0, To renovate,0.0
17,8930 Menen,House,40000,2.0,49.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,49.0,49.0,2.0, To be done up,0.0
18,7170 Manage,House,40000,3.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,620.0,2.0, To renovate,0.0
19,7390 Quaregnon,House,40000,2.0,60.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,60.0,201.0,3.0, To renovate,0.0
20,6567 Merbes-le-Chteau,House,40000,4.0,173.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,173.0,370.0,2.0,Good,0.0
21,7160 Chapelle-lez-Herlaimont,House,40000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,2.0,Good,0.0
22,7390 Quaregnon,House,40000,2.0,201.0,Not installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,2.0,Good,0.0
23,7350 Hensies,House,40000,1.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,162.0,3.0,Good,0.0
24,5660 Brly,House,40000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,930.0,1.0,Good,0.0
25,6041 Gosselies,House,40000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,1.0,Good,0.0
26,7131 Waudrez,House,40000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,442.0,2.0,Good,0.0
27,7380 Quivrain,House,40000,4.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,467.0,1.0,Good,0.0
28,6200 Chtelet,House,40000,3.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,240.0,1.0, To renovate,0.0
29,6560 Erquelinnes,House,40000,1.0,82.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,82.0,232.0,2.0,Good,0.0
30,9600 Ronse,House,42500,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,110.0,1.0,Good,0.0
31,7012 Flnu,House,43000,2.0,70.0,Not installed,0.0,0.0,0.0,10.0,0.0,5.0,70.0,50.0,3.0, To renovate,0.0
32,6040 Jumet,House,45000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,250.0,3.0, To renovate,0.0
33,7380 Quivrain,House,45000,2.0,100.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,100.0,80.0,2.0,Good,0.0
34,6040 Jumet,House,45000,2.0,60.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,60.0,332.0,1.0,Good,0.0
35,6040 Jumet,House,45000,1.0,70.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,70.0,201.0,1.0,Good,0.0
36,5575 Willerzie,House,45000,2.0,150.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,150.0,250.0,2.0, To renovate,0.0
37,6030 Marchienne-au-Pont,House,45000,3.0,100.0,Not installed,0.0,0.0,0.0,10.0,0.0,5.0,100.0,340.0,1.0,Good,0.0
38,5650 Yves-Gomeze,House,45000,1.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,1101.0,3.0, To restore,0.0
39,6044 Roux,House,45000,4.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,184.0,3.0, To be done up,0.0
40,6500 Beaumont,House,45000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,1.0,270.0,201.0,310.0,4.0, To restore,0.0
41,7340 WASMES,House,45000,2.0,201.0,Not installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,155.0,1.0,Good,0.0
42,7301 Hornu,House,45000,3.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,1.0,Good,0.0
43,6020 Dampremy,House,45000,2.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,201.0,1.0,Good,0.0
44,6560 Erquelinnes,House,45000,2.0,95.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,95.0,201.0,1.0,Good,0.0
45,4260 Ville-en-Hesbaye,House,46000,5.0,341.0,Semi equipped,0.0,0.0,1.0,11.0,1.0,950.0,341.0,1345.0,4.0, To be done up,0.0
46,7100 La Louviere,House,46000,2.0,63.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,63.0,35.0,2.0, To renovate,0.0
47,7390 Quaregnon,House,49000,2.0,102.0,Not installed,0.0,0.0,0.0,10.0,0.0,5.0,102.0,330.0,3.0, To restore,0.0
48,6040 Jumet,House,49000,2.0,85.0,Not installed,0.0,0.0,0.0,10.0,0.0,5.0,85.0,78.0,2.0, To renovate,0.0
49,7600 Peruwelz,House,49000,1.0,201.0,Installed,0.0,0.0,0.0,10.0,1.0,500.0,201.0,570.0,2.0, To restore,0.0
50,4051 Vaux-sous-Chvremont,House,49000,2.0,201.0,Not installed,0.0,0.0,1.0,8.0,0.0,5.0,201.0,86.0,3.0, To restore,0.0
51,4032 Chne,House,49000,1.0,201.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,201.0,35.0,3.0, To restore,0.0
52,7390 Quaregnon,House,49000,3.0,12.0,Installed,0.0,0.0,0.0,10.0,0.0,5.0,12.0,60.0,2.0, To be done up,0.0
